Whiskey,Percent.whiskey,Rep,Style,o-Xylene,p-Xylene,Mesitylene,Furfural,Benzofuran,Benzaldehyde,"2-Furancarboxaldehyde, 5-methyl-",Benzonitrile,"Benzofuran, 2-methyl-",Naphthalene,"1H-Indene, 1-ethylidene-",trans-3-Methyl-4-octanolide,"Phenol, 2-methyl-","Phenol, 4-ethyl-2-methoxy-",Mesitylene,"Phenol, 3,4-dimethyl-","Phenol, 3-ethyl-5-methyl-","Phenol, 3-ethyl-",Dibenzofuran
Black Bottle,60,2,BS,4235.236817,3678.532712,4064.145515,324371.1113,3372.885334,55458.025,5372.206431,3409.440049,3123.994857,150989.4687,16524.45238,4088.984115,5031.881412,1009.5989,2443.44204,2732.161568,0,2028.370674,3817.269564
Black Bottle,60,3,BS,3809.841248,3028.246552,3615.109205,315833.5984,4201.107435,52873.31472,5406.489649,4759.964397,5220.08289,320867.7469,30755.33671,3882.541814,7141.252131,1717.741623,1873.556184,5495.712059,207.2358696,2032.284521,4948.177595
Black Bottle,70,1,BS,6606.985868,6132.516647,6536.920548,317589.5307,4245.434023,49004.80627,4978.453856,3968.586268,3256.652897,192877.8385,18065.57698,2406.946079,4915.871395,1040.307657,3578.168009,2741.624789,0,1915.404304,3968.782132
Black Bottle,70,2,BS,6705.243615,6697.74426,6693.638988,321358.0732,3220.832873,49281.44134,5236.836711,2927.280294,2129.700999,106069.8324,12258.87004,2552.601654,3825.891916,452.5333469,3858.727921,1821.844565,0,1967.980715,3235.642271
Black Bottle,70,3,BS,6524.178634,6331.420987,6236.155596,311989.4889,3309.814848,47198.17396,4882.132364,3042.420489,2791.429316,150671.1929,17086.45207,2698.544992,4006.053755,725.3217441,3769.733744,2059.927514,0,2015.458097,3688.085374
Black Bottle,80,1,BS,8597.804546,7558.541715,5752.947695,330723.9472,3160.420018,47274.44221,4603.766699,3174.078743,2637.933727,143897.9099,15725.56281,1809.465039,3171.995941,485.8689394,4110.112888,1241.772647,0,1928.87098,3559.37202
Black Bottle,80,2,BS,9458.395925,8906.135003,5878.449467,324749.5174,2209.609116,38541.02327,3930.982992,2284.444044,414.0448608,20172.71431,1542.75236,2034.215552,2157.620734,0,4222.889283,492.9294239,0,1943.057626,0
Black Bottle,80,3,BS,8316.330388,7585.210942,5652.216639,320881.739,2796.095009,43635.16102,4310.492879,2687.046097,2252.050399,123062.1338,15903.49974,1688.143283,2764.295521,0,4224.62418,1037.67078,0,1930.992366,3335.310369
Black Bottle,90,1,BS,6980.431676,6893.500858,4606.873546,332872.9427,1490.518448,37066.66735,4100.945361,2107.365051,311.2579532,17896.52141,1165.907513,1463.343903,2069.717531,0,3287.895006,617.4260707,0,1808.625267,0
Black Bottle,90,2,BS,7173.439915,6856.808124,4769.561399,339032.5873,2775.035482,46137.42038,4737.775445,2920.616698,2569.248433,124743.9202,12984.23162,1208.135593,2800.078185,0,3569.234419,1035.183418,0,1853.223595,3168.433767
Black Bottle,90,3,BS,6491.449365,6349.511316,4977.321664,343665.4795,3992.010787,44136.90842,5002.305141,4629.644954,4944.485179,236995.1902,17585.5916,1845.517349,5353.30773,1078.938163,3736.102623,4132.041481,0,1863.757153,2130.790306
Black Bottle,100,1,BS,4888.421669,5352.708787,3683.011172,344549.9868,3396.281266,43238.8591,4731.228703,3984.056578,4141.256748,218347.3048,19558.93463,782.7452362,3548.329097,621.4302498,2901.206708,2446.488577,0,1778.525286,3581.752242
