Whiskey,Percent.whiskey,Rep,Style,"8-Nonenoic acid, ethyl ester",Ethyl trans-4-decenoate,Ethyl 9-decenoate,"Benzeneacetic acid, ethyl ester","10-Undecenoic acid, ethyl ester","Benzenepropanoic acid, ethyl ester",Ethyl 9-hexadecenoate,"Oxalic acid, decyl 2-phenylethyl ester"
Bunnahabhain,80,1,SM,12510.70191,41447.99693,11685.724,7228.019084,4256.544805,4675.946003,309558.0053,21414.94188
Bunnahabhain,80,2,SM,12299.91132,39950.53602,11124.90925,6846.344438,3723.098946,4441.386111,237272.677,17623.86887
Bunnahabhain,80,3,SM,15324.6801,53333.96817,14904.85464,7575.781137,5244.940036,5134.412268,327568.099,21557.5606
Bunnahabhain,90,1,SM,7062.677779,19339.37531,5564.295921,5187.01794,1532.42567,2663.004113,287928.1471,20803.30119
Bunnahabhain,90,2,SM,7218.127268,19237.55907,5141.017496,5216.507719,1474.785106,2860.951601,265261.8054,17362.51074
Bunnahabhain,90,3,SM,7200.7149,19384.4577,5084.813372,5090.916436,1408.285741,2967.211203,278224.7235,19482.20282
Bunnahabhain,100,1,SM,3699.125546,7417.808548,1652.956045,3310.755484,0,1042.627782,112547.4641,11607.47071
Bunnahabhain,100,2,SM,4611.420695,9595.592794,2218.645065,3879.990092,487.9116944,1547.68902,139056.3739,13318.35588
Bunnahabhain,100,3,SM,3620.069961,7448.73779,1304.565464,3391.323459,0,1416.875164,166751.2763,13344.55879
Bushmills,50,1,IW,7306.308019,100956.2277,3045.39595,7773.537159,0,135.3810458,24583.41805,10218.17056
Bushmills,50,2,IW,5597.823668,76224.48484,1686.911455,5748.116804,0,20.76544649,24336.35236,9975.483781
Bushmills,50,3,IW,7616.050353,107197.7771,3694.734452,7312.02494,0,0,36279.96852,12972.28081
Bushmills,60,1,IW,5456.685648,74022.09497,1667.639605,6166.7673,0,0,34708.31879,11455.09671
Bushmills,60,2,IW,5095.002789,57834.99389,492.364544,4776.877703,0,0,22347.8854,8248.234204
Bushmills,60,3,IW,6355.036061,83865.10083,2092.880033,6986.090081,0,0,35614.03031,12597.32172
Bushmills,70,1,IW,3642.70319,37088.30648,0,4491.800424,0,0,39984.61217,10550.57526
Bushmills,70,2,IW,3653.311619,36770.66548,0,4923.997367,0,16.07276155,35566.14989,8966.990038
Bushmills,70,3,IW,3282.40381,28044.56146,0,3547.403019,0,0,30470.47539,9766.119752
Bushmills,80,1,IW,1965.786683,12622.83638,0,2541.971915,0,11.83326067,23247.51928,5568.974217
Bushmills,80,2,IW,3160.911572,22499.34581,0,3870.605874,0,0,40508.22328,7139.54768
Bushmills,80,3,IW,2755.809603,18775.4745,0,3472.533791,0,10.38871766,38055.73134,6798.505371
Bushmills,90,1,IW,1640.958048,10049.36028,0,3000.884812,0,8.041329945,14239.1929,2347.579343
Bushmills,90,2,IW,1862.217722,12350.03168,0,3317.112224,0,6.394648486,13801.5568,2441.355885
Bushmills,90,3,IW,1686.589797,11838.86651,0,3269.809286,0,7.928705769,13671.7176,1816.210333
Bushmills,100,1,IW,705.1775805,3880.829362,0,2218.782045,0,0,3074.458189,602.1206009
Bushmills,100,2,IW,785.3850943,4637.750985,0,2468.814182,0,0,3323.327325,999.013103
Bushmills,100,3,IW,844.0212532,4492.372212,0,2567.741051,0,0,3776.672029,791.9738253
Dewars,50,1,BS,5500.701134,87047.94772,22875.55026,4727.863828,333.6570526,833.5051153,188528.7482,51886.89111
Dewars,50,2,BS,5285.094912,83759.12266,21761.45557,4307.955677,393.6243171,754.1224779,185051.0667,55998.90123
Dewars,50,3,BS,5867.717909,93431.90987,24071.18884,4246.879398,530.5113034,894.4457931,191232.8967,60629.25788
Dewars,60,1,BS,4476.952414,69865.38667,17318.68812,3690.738501,349.7159983,571.8423761,183417.4544,54853.00735
Dewars,60,2,BS,4044.571719,62866.98851,15846.90485,4063.260345,325.0805965,565.7909726,200288.8469,53764.96189
Dewars,60,3,BS,4048.859282,65574.13122,16494.97429,4122.389644,320.1226149,572.6060152,220095.5919,56051.74483
Dewars,70,1,BS,2923.42483,45211.13823,10617.00045,3594.246163,101.3047472,598.7112608,256896.7737,52847.57629
Dewars,70,2,BS,2975.113203,44986.30703,10647.34697,3842.188632,134.0834302,641.2544346,272489.7366,58412.86596
Dewars,70,3,BS,3062.778097,42895.98112,9858.369335,2983.965989,196.2266273,442.5310939,207772.5345,53741.03434
Dewars,80,1,BS,2180.229177,24543.20573,5630.184548,3223.231563,0,360.8836146,301875.2589,43908.37974
Dewars,80,2,BS,2145.562637,21034.85656,4414.610147,2549.93938,0,43.15086312,278383.9096,45602.48617
Dewars,80,3,BS,2465.771577,23208.22752,5385.588035,2932.503532,0,288.1895074,316624.9739,46217.09185
Dewars,90,1,BS,1924.894307,9594.087526,2011.754814,2445.823025,0,0,198238.4291,17047.86933
Dewars,90,2,BS,2195.451356,9801.558383,1849.699,2174.078916,0,0,194930.7808,20203.32721
Dewars,90,3,BS,2274.605519,9667.120049,1660.838376,2212.996853,0,0,188676.1131,21268.77266
Dewars,100,1,BS,817.2970637,3877.119468,111.2636978,1492.018032,0,0,58091.31634,8594.230931
Dewars,100,2,BS,1056.438017,4366.219912,305.8907726,1791.396376,0,0,69496.2974,9226.91523
Dewars,100,3,BS,800.2186943,3871.610926,106.9510703,1609.135402,0,0,69236.0022,9007.04928
Old Forester,50,1,BU,67396.61235,490283.2049,10938.21703,35075.09727,582.8052036,2364.793835,4912.72252,2767.634082
Old Forester,50,2,BU,64690.58423,473420.5046,9466.256105,37804.11177,505.7799498,2002.145422,7066.24652,3346.990048
Old Forester,50,3,BU,70346.69451,499444.8003,10475.66217,40991.31398,123.7902809,2557.548787,4974.208832,2024.67895
Old Forester,60,1,BU,49475.04493,351125.7838,6036.951522,30115.88667,0,1740.894283,5588.210496,2305.962132
Old Forester,60,2,BU,50182.93132,340557.843,5301.390327,32898.73328,0,1649.004642,5588.764459,3265.0314
Old Forester,60,3,BU,41986.30378,295100.0832,3300.602276,32044.31894,187.8248492,1538.101544,3120.326519,2233.450283
Old Forester,70,1,BU,29430.1289,183458.0294,0,29020.11815,155.6049321,1231.66014,3322.085498,1909.909516
Old Forester,70,2,BU,35147.02287,218605.0687,2032.260687,27973.95058,0,1326.080865,3676.371459,2629.533717
Old Forester,70,3,BU,27089.87396,179414.9983,0,28856.18042,186.8551601,1119.61236,3067.04542,1554.210765
Old Forester,80,1,BU,19687.47122,109150.9588,0,19845.56286,0,910.0571798,2031.618026,1010.481706
Old Forester,80,2,BU,20197.02281,113549.5105,0,24179.68111,0,831.9643636,1702.486887,810.4093734
Old Forester,80,3,BU,17163.79517,93843.2214,0,19277.0009,0,773.7722753,1918.212515,905.2493607
Old Forester,90,1,BU,10309.48362,36340.649,0,16160.98842,0,317.188229,1900.800984,570.3685331
Old Forester,90,2,BU,10443.24128,47081.6072,0,16757.35548,0,543.7311837,1633.446182,638.2410803
Old Forester,90,3,BU,9945.091518,43693.08253,0,16704.79309,0,227.4388332,1932.203535,963.3275266
