Whiskey,Percent.whiskey,Rep,Style,D-Limonene,"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, [S-(Z)]-",o-Cymene
Tullamore Dew,80,1,IW,0,0,3449.454865
Tullamore Dew,80,2,IW,19475.24916,0,4598.985933
Tullamore Dew,80,3,IW,3802.80047,0,3474.729767
Tullamore Dew,90,1,IW,0,0,2596.074856
Tullamore Dew,90,2,IW,15223.12637,0,2999.951907
Tullamore Dew,90,3,IW,15755.57012,0,3136.99729
Tullamore Dew,100,1,IW,9073.49844,0,1775.773338
Tullamore Dew,100,2,IW,7020.487113,0,1753.639894
Tullamore Dew,100,3,IW,0,0,1661.403589
Wild Turkey,50,1,BU,27055.32796,779.1241922,19083.19107
Wild Turkey,50,2,BU,23918.61243,721.8215466,17571.48847
Wild Turkey,50,3,BU,20673.33436,676.5958641,16044.09957
Wild Turkey,60,1,BU,21562.18188,0,12911.43956
Wild Turkey,60,2,BU,24731.15402,0,14615.05443
Wild Turkey,60,3,BU,22467.76848,0,13315.17274
Wild Turkey,70,1,BU,14950.63452,0,7861.462387
Wild Turkey,70,2,BU,15436.46967,0,8691.3907
Wild Turkey,70,3,BU,16010.22685,0,8412.522185
Wild Turkey,80,1,BU,8115.284865,0,4486.961615
Wild Turkey,80,2,BU,9731.290893,0,5052.587544
Wild Turkey,80,3,BU,9198.906988,0,4792.583368
Wild Turkey,90,1,BU,4945.14138,0,3055.106537
Wild Turkey,90,2,BU,4747.130776,0,2895.958492
Wild Turkey,90,3,BU,5194.236881,0,2969.81809
Wild Turkey,100,1,BU,2941.196354,0,1942.418369
Wild Turkey,100,2,BU,2967.584391,0,1980.700423
Wild Turkey,100,3,BU,2900.880914,0,1857.859685
Woodford Rye,50,1,RW,29566.00992,2139.612063,52377.48994
Woodford Rye,50,2,RW,4048.417686,2681.568275,49920.85244
Woodford Rye,50,3,RW,1109.294846,2484.104533,46433.49617
Woodford Rye,60,1,RW,1451.462577,1060.341645,40107.0203
Woodford Rye,60,2,RW,14279.75283,1370.961952,45464.47452
Woodford Rye,60,3,RW,34410.67158,2066.273684,46702.128
Woodford Rye,70,1,RW,27674.57021,745.405219,36571.42311
Woodford Rye,70,2,RW,1086.826027,503.8473382,31118.69313
Woodford Rye,70,3,RW,25261.39112,859.0489724,35931.5659
Woodford Rye,80,1,RW,1026.090217,1707.559371,22674.46442
Woodford Rye,80,2,RW,17456.56629,1209.109689,24732.70689
