Whiskey,Percent.whiskey,Rep,Style,2-Methoxy-N-methylethylamine,Pentane,Octane,"Propanoic acid, 2,2-dimethyl-, octyl ester","Undecane, 2,6-dimethyl-",Toluene,"1,1,6,6-Tetramethylspiro[4.4]nonane",Pentadecane,"1-Decanol, 2-hexyl-",Benzo[c]thiophene,"Cyclopentane, 1-ethenyl-3-ethyl-2-methyl-"
Bunnahabhain,60,3,SM,28666.35596,2068.731452,1103.131457,2578.168897,4308.710868,6605.441346,0,336.1056125,4255.360812,31.86953708,688.5501848
Bunnahabhain,70,1,SM,29673.93515,2067.964456,246.7807771,1298.426827,1474.678792,5475.904943,0,222.993772,1967.754092,20.94940353,596.078297
Bunnahabhain,70,2,SM,29187.28377,2216.990003,555.6866915,2888.191737,3429.397708,6839.839519,0,0,1880.452277,19.64934504,613.4401191
Bunnahabhain,70,3,SM,29465.72331,2169.056922,501.6275324,2003.554164,2120.008881,6713.116627,0,480.2943569,2304.033073,16.99412265,524.2139511
Bunnahabhain,80,1,SM,30147.95879,2146.538744,274.3788288,844.7691256,1642.401355,6917.350991,0,508.0969851,561.7562659,21.13987438,304.4033013
Bunnahabhain,80,2,SM,30229.33934,2136.375509,218.1123079,272.7769123,1038.766109,7250.401989,0,211.7057911,457.3000736,22.03667361,458.6673212
Bunnahabhain,80,3,SM,30346.07279,2133.957436,388.7733742,711.9805337,1257.468306,6894.918485,0,547.7064912,960.5619339,20.90491591,314.0037115
Bunnahabhain,90,1,SM,30307.96236,2097.688196,355.8982146,1417.420427,1629.282018,5334.527285,4.335905352,3064.31195,0,0,282.5442127
Bunnahabhain,90,2,SM,28940.74079,2129.5776,485.7814344,1506.002109,2255.684509,5973.456664,49.06189069,3258.622755,0,8.004157965,458.5942599
Bunnahabhain,90,3,SM,30871.25306,2236.251459,332.1743339,736.7477979,1130.055144,6222.544742,0,3045.899956,0,0,690.6212173
Bunnahabhain,100,1,SM,30011.29959,2099.723863,455.8310651,1933.072746,1893.108512,5058.678702,0,4868.765518,1299.88534,0,112.7501987
Bunnahabhain,100,2,SM,29581.3591,2048.960822,282.7015545,1439.811902,1515.19427,5249.731526,0,6654.80042,2378.721328,0,361.0466981
Bunnahabhain,100,3,SM,30048.91127,2179.284552,641.8242349,1599.304272,1925.27895,6056.31209,0,5404.547335,1902.051353,0,748.0386326
Bushmills,50,1,IW,34850.29851,2194.331913,0,0,589.130509,1405.899122,0,4294.146006,8823.399646,18.74871353,4155.83361
Bushmills,50,2,IW,36319.06702,2308.056376,191.6925792,2305.996353,3807.550461,1269.133419,0,3472.733844,6752.730373,12.88382459,3675.40465
Bushmills,50,3,IW,31723.11265,2196.931636,131.4052811,1513.394711,2910.311128,1261.834608,0,5081.355887,8972.115957,20.52550611,5884.198205
Bushmills,60,1,IW,34881.14261,2152.122205,0,435.4046585,1100.328275,1333.354951,0,3333.572687,5445.427792,9.856031214,5606.517672
Bushmills,60,2,IW,35699.12461,2173.957749,139.502344,958.5512473,2408.06875,1144.148176,0,2238.778565,3975.687335,0,2912.472738
Bushmills,60,3,IW,34491.84771,2216.758867,150.0913929,1938.777359,3321.115632,1431.290719,0,3478.251177,6452.374479,14.23179486,5680.440468
Bushmills,70,1,IW,32763.81477,2158.836513,83.93663271,1247.751412,2401.852302,1320.569708,0,3587.54067,3508.414073,3.544092944,4683.718566
Bushmills,70,2,IW,34547.02481,2089.979997,63.67792629,879.0665163,1935.586212,1307.156107,0,4325.929785,3243.357695,2.45941194,3479.847925
Bushmills,70,3,IW,37366.49034,2121.193412,192.6905039,1741.033201,3219.614958,1274.491276,0,3015.598233,2727.198308,6.696557194,3211.727904
Bushmills,80,1,IW,45261.62463,2167.916144,0,649.2633822,1168.74409,897.6202686,0,3062.930766,2807.653171,0,960.1056875
Bushmills,80,2,IW,41571.5119,2165.95868,0,857.5893017,1443.962439,1148.225203,0,3507.456611,2519.995822,0,2183.928634
Bushmills,80,3,IW,37670.62879,2143.835689,109.1013991,1445.436019,2563.760948,1058.141572,0,3979.770639,2012.568069,0,1909.161414
Bushmills,90,1,IW,34336.34891,2173.018678,0,670.0275799,1341.108817,699.3523975,0,3013.623389,1882.195868,0,395.0711189
Bushmills,90,2,IW,36323.33593,2234.170639,0,506.2646117,164.1747183,842.6666983,0,2891.638735,1900.208493,0,445.968022
Bushmills,90,3,IW,32598.65564,2159.672778,0,304.8737878,366.0410521,753.2894652,0,1587.555967,990.7659794,0,336.6143743
Bushmills,100,1,IW,34406.08765,2192.205438,0,351.103937,0,905.3558141,0,1110.155044,0,0,422.1749123
Bushmills,100,2,IW,35885.21008,2281.17755,0,716.0334801,523.4487997,1022.111144,0,2494.739851,568.8056657,0,422.3249269
Bushmills,100,3,IW,32646.33435,2218.215406,0,499.1892688,399.6356638,1015.823897,0,1403.925814,0,0,407.5195455
Dewars,50,1,BS,30036.76242,2113.463459,749.7431757,3791.480985,6047.105636,1808.195623,454.0758512,198.9000685,2526.545711,23.32147134,1316.145999
Dewars,50,2,BS,30242.51676,2088.510996,762.239741,4966.082898,8062.660541,2067.125663,515.4977067,520.9369062,2265.700248,17.85537839,1523.479181
Dewars,50,3,BS,30494.96314,2217.506258,1490.147352,6766.194469,10182.1074,2346.496717,590.2680721,489.2668305,2709.211392,18.69158461,1800.125537
Dewars,60,1,BS,30334.70579,2153.585542,412.1532515,1613.616879,3113.077484,2547.821221,736.5560877,213.6208475,1645.719283,21.86208021,1689.58489
Dewars,60,2,BS,29213.52567,2110.29037,1226.342298,3673.133015,5807.62954,1519.082162,238.2409854,259.5710945,1468.133149,20.33873575,1349.205301
Dewars,60,3,BS,29684.5709,2023.969372,1407.776362,4804.964683,7426.422105,1873.773393,287.0457272,236.930883,1410.581543,23.08319236,1485.452546
Dewars,70,1,BS,29440.84509,2057.400473,285.051616,1087.471804,2762.553807,1862.071619,670.346843,0,0,14.80449532,1668.397062
Dewars,70,2,BS,30307.55982,2119.775821,715.0206933,1861.453935,3698.126921,2111.167034,639.6545291,0,504.4900395,26.84592613,1707.170629
Dewars,70,3,BS,31411.00045,2264.288595,715.4781812,2294.690711,3998.795384,2426.006611,766.0156767,0,0,0,4695.767506
Dewars,80,1,BS,31111.47022,2137.89294,156.0271755,1210.492643,2891.376341,1758.184539,467.3155824,308.5807464,0,16.51514483,910.7147171
Dewars,80,2,BS,30499.50148,2110.620201,873.9430716,2137.799569,3989.745172,1943.326386,623.6163893,268.9687154,0,11.33088501,953.4304692
Dewars,80,3,BS,30230.01938,2081.90752,534.6593368,1726.314054,3653.550622,1802.810064,509.193723,647.95541,397.8446762,19.17099529,877.2811839
Dewars,90,1,BS,28692.61942,2052.294584,328.3127403,1791.331182,3634.051488,1484.995113,230.3827424,1978.78732,1474.610763,0,151.9829828
Dewars,90,2,BS,30329.47512,2073.791903,1580.434094,3741.35155,5736.726917,1698.636125,571.7346935,2832.44673,2266.798281,0,367.0850098
Dewars,90,3,BS,30954.50387,2171.775209,758.494021,3016.955188,5116.59757,1675.226506,620.4002338,2952.338493,2166.341431,0,432.9583554
Dewars,100,1,BS,30409.81815,2211.124665,29.50039848,0,642.3604131,1231.390824,63.98303531,837.0335031,0,0,50.89174878
Dewars,100,2,BS,31423.8145,2241.142932,292.4038357,680.6513806,1994.479909,1525.277218,235.0004706,1354.397353,562.0218083,0,404.4009215
Dewars,100,3,BS,32637.29661,2123.065515,246.5001375,1209.544488,2592.016842,1309.028489,0,696.8546472,0,0,207.4881088
Old Forester,50,1,BU,96888.00334,3372.603168,5847.758088,7478.314699,0,7270.092768,1674.612677,2777.507235,5190.946777,0,6921.517268
Old Forester,50,2,BU,92398.27098,3937.263503,5862.806513,7255.004383,0,6486.565402,221.8811527,2529.208605,4414.756835,35.75628275,8624.896464
Old Forester,50,3,BU,77513.00158,3640.11252,5666.427366,7368.647315,0,6957.263156,1295.122166,3808.971819,5106.65776,0,9118.458969
Old Forester,60,1,BU,76815.66968,3752.361077,7336.913567,9564.260695,0,6266.100202,1658.153887,5072.0683,3440.514913,0,3960.637862
Old Forester,60,2,BU,91454.35285,3845.172828,6360.672172,7816.357856,0,6883.439434,753.1929658,4605.866373,3165.194495,0,3308.80923
Old Forester,60,3,BU,83196.31117,3768.970273,5528.737104,7151.51212,0,6024.521292,0,4601.766438,1876.823231,0,2504.131769
Old Forester,70,1,BU,99663.6262,3472.435392,6970.71067,8957.181835,0,6024.197866,303.2805163,7711.251771,1813.940265,0,1014.545832
Old Forester,70,2,BU,103489.0764,3628.58051,8128.760083,10405.02167,0,6386.155844,2069.350237,9524.038965,2832.210682,0,1475.746781
Old Forester,70,3,BU,102868.1964,3582.618606,7032.937232,8596.469153,0,5408.524785,0,7333.625607,1070.334191,31.8525748,621.6875614
Old Forester,80,1,BU,107564.5629,3782.060439,10436.73043,12940.15971,0,5703.30392,1556.261257,11324.49873,1513.363092,0,0
Old Forester,80,2,BU,118407.1634,3210.555109,9103.844874,11701.79074,0,5978.584858,886.726367,7057.697918,0,15.80347329,62.64665683
Old Forester,80,3,BU,105201.244,3545.414305,8161.900447,10209.77492,0,5443.51794,1053.20178,5528.759399,0,17.38006939,0
Old Forester,90,1,BU,74841.2349,3908.080159,3545.038092,4316.962294,0,3143.520956,480.1155089,5552.417454,0,17.61244915,133.8521486
Old Forester,90,2,BU,90869.61761,3308.401763,3532.627225,4508.563107,0,3493.075963,893.9439661,4071.812036,0,13.00918574,0
Old Forester,90,3,BU,83017.96027,3957.705734,3266.85162,3899.927531,517.4582906,3200.805233,0,4497.947583,0,14.06572094,105.8777303
Old Forester,100,1,BU,100414.5448,3690.306259,4095.332042,4855.055294,0,2957.075388,678.1782187,2011.201798,0,0,0
Old Forester,100,2,BU,72625.93406,3634.781585,4401.606782,5153.301705,429.7790037,2927.623914,838.2997264,2649.457068,0,4.057346039,0
