Whiskey,Percent.whiskey,Rep,Style,"1-Butanol, 2-methyl-, acetate","1-Butanol, 3-methyl-, acetate","Acetic acid, 2-phenylethyl ester",Lauryl acetate,Ethyl Acetate,"Acetic acid, decyl ester",1-Tetradecyl acetate,"Farnesol, acetate","Acetic acid, hexyl ester","Acetic acid, heptyl ester"
The Irishman,50,2,IW,60710.28779,438603.8509,277978.55,14534.97769,971590.7427,70906.92487,1430.68155,1365.045548,19973.43401,6073.449049
The Irishman,50,3,IW,67627.83163,483606.7458,325005.8586,19021.12914,971496.5432,86844.42856,2757.742095,1958.54138,22863.54858,5584.190579
The Irishman,60,1,IW,33104.0615,384993.4424,244868.6031,17895.74396,1008342.402,54991.62176,2706.281088,1613.004236,15413.23989,4453.737508
The Irishman,60,2,IW,53785.64187,386554.5228,275558.4381,17161.56811,964982.4386,67793.9263,1998.772326,1298.610316,16184.95845,4765.92919
The Irishman,60,3,IW,59513.27114,426267.3072,327695.0406,18825.70485,964131.9402,75274.5192,2302.51415,1503.211453,19212.54231,5037.503515
The Irishman,70,1,IW,56842.23718,397950.315,242397.8164,16184.16106,986355.0614,52027.16266,2541.416252,1025.944978,16877.70259,4324.18305
The Irishman,70,2,IW,55333.86504,395773.3846,277925.1445,16789.54311,935818.4038,51251.71204,2666.690062,1118.720782,16963.60033,5439.736892
The Irishman,70,3,IW,48431.65324,364732.8584,268091.2868,17429.91303,886721.001,49120.96974,2839.508886,1289.630514,15454.27598,4473.353272
The Irishman,80,1,IW,49246.65316,353040.4786,203823.9192,11097.14808,1062386.845,30312.15811,3629.833754,661.5568076,13103.66188,3825.794662
The Irishman,80,2,IW,49371.20312,356577.4328,212806.169,13237.5801,1069455.731,31752.2372,4425.273011,844.116253,13382.81683,4002.759427
The Irishman,80,3,IW,46145.46831,324186.128,172347.63,9719.315717,1106710.086,25528.31224,2354.882672,675.1472172,11495.8545,3732.519926
The Irishman,90,1,IW,37514.79295,267699.5307,155671.6796,3842.832833,1068338.461,13535.18479,453.5058917,0,8770.177491,3204.825719
